Date;Gold XAU/EUR Rate FX Unhdg.;1-5 Year US Govt (ICE) FX Unhdg.;1-5 Year Global Non-Sov (ICE) IR hdg. IRS;World Equity (MSCI) FX Unhdg.;1-3 Year China Govt (ICE) FX Unhdg.;US Inflation-Linked Govt (ICE) FX Hdg.;US MBS (ICE) FX Hdg.;EM global IG Govt (JPM) FX Hdg.
21.10.1996;0,0001311;-0,00413;;-0,006075914;;;-0,00006;
22.10.1996;0,000884811;-0,00129;;-0,00544272;;;-0,00129;
23.10.1996;-0,001506123;-0,00449;;-0,008117783;;;0,0003;
24.10.1996;-0,004754722;-0,0005;;-0,004083319;;;0,00044;
25.10.1996;0,000790748;0,00044;;-0,0032559;;;0,00169;
28.10.1996;0,000263374;-0,0015;;-0,004784567;;;0,00014;
29.10.1996;-0,011091729;-0,00179;;-0,005451501;;;0,00577;
30.10.1996;-0,002130067;-0,00273;;-0,001736733;;;-0,00036;
31.10.1996;-0,00110066;0,00365;;0,004562643;;;0,00047;
01.11.1996;-0,003873251;0,00206;;0,003286478;;;-0,00008;
04.11.1996;0,000402239;-0,00153;;-0,000554489;;;-0,00069;
05.11.1996;0,0051935;0,00374;;0,005988428;;;0,00202;
06.11.1996;-0,002133333;0,00015;;0,010911309;;;-0,0001;
07.11.1996;0,00080171;-0,00293;;-0,001435644;;;0,00193;
08.11.1996;-0,004873164;-0,00166;;0,003923731;;;0;
11.11.1996;-0,00077145;-0,00404;;-0,002309212;;;0,0005;
12.11.1996;0,011379276;0,00197;;0,000609515;;;0,00294;
13.11.1996;-0,001427149;0,00299;;0,004027462;;;0,00004;
14.11.1996;-0,00239306;0,00182;;0,006506533;;;0,00174;
15.11.1996;-0,005830418;-0,00164;;0,002016698;;;-0,0006;
18.11.1996;-0,006769437;-0,00396;;-0,00543982;;;-0,00022;
19.11.1996;-0,000404886;0,00083;;0,004635607;;;0,00145;
20.11.1996;-0,005603186;-0,00327;;-0,00072035;;;0,00117;
21.11.1996;-0,000746775;-0,00001;;0,000322972;;;-0,0001;
22.11.1996;0,002479788;0,00274;;0,007220181;;;-0,00013;
25.11.1996;0,002778625;0,00884;;0,012134272;;;0,00118;
26.11.1996;0,003548136;0,00623;;0,005285796;;;0,00049;
27.11.1996;-0,004545761;-0,00027;;-0,003720221;;;0,00014;
29.11.1996;0,000675402;0,00692;;0,004974741;;;0,00258;
02.12.1996;-0,001721112;0,00166;;7,14713E-05;;;0,00015;
03.12.1996;0,004901795;0,01528;;0,0084645;;;-0,00087;
